name;beschreibung;anwendung;wichtige_aspekte;key_phrases
Reaktanz-Technik;Die natürliche Trotzreaktion nutzen: Durch Übertreibung der Position des Gegenübers ihn dazu bringen, diese abzuschwächen.;Die Forderung des Gegenübers bewusst überspitzt zusammenfassen, sodass sie extremer klingt, und abwarten, ob er sie von sich aus relativiert.;Menschen wollen ihre Handlungsfreiheit bewahren. Wird ihre Position übertrieben dargestellt, neigen sie dazu, sich davon zu distanzieren und moderater zu werden.;Also bestehen Sie darauf, überhaupt keine Zugeständnisse zu machen, egal was passiert? | Sie wollen unter keinen Umständen vom Listenpreis abweichen, habe ich das richtig verstanden? | Sie würden also lieber ganz auf einen Deal verzichten, als uns auch nur ein bisschen entgegenzukommen?
Verzögerte Sympathie;Sympathie erst nach und nach aufbauen, statt von Anfang an überschwänglich zu sein.;Anfangs zurückhaltend bleiben und die Wertschätzung für den Verhandlungspartner im Verlauf des Gesprächs steigern.;Ein langsam wachsendes Vertrauen wirkt authentischer. Der Verhandlungspartner empfindet zunehmende Sympathie als echt, statt als aufgesetzte Strategie.;Anfangs war ich etwas skeptisch, aber je länger wir sprechen, desto sympathischer wird mir Ihre Perspektive. | Ich merke, dass mir Ihre Ideen mit der Zeit immer besser gefallen. | Je mehr ich darüber nachdenke, desto überzeugender finde ich Ihren Vorschlag.
Fehler eingestehen;Durch das Zugeben eigener Schwächen Vertrauen aufbauen (niemand ist perfekt).;Eigene kleinere Fehler oder Unzulänglichkeiten offen ansprechen, statt sich als unfehlbar darzustellen.;Ein Gegenüber ist weniger misstrauisch, wenn man nicht vollkommen perfekt erscheint. Offen gezeigte Menschlichkeit schafft Sympathie und Vertrauen.;Entschuldigen Sie, da habe ich mich verrechnet – mein Fehler. | Ich muss zugeben, ich habe anfangs selbst nicht alle Details überblickt. | Da ist mir wohl ein Missgeschick passiert, tut mir leid, ich bin auch nur ein Mensch.
'Das ist noch nicht alles'-Taktik;Ein Angebot attraktiver machen, indem man es in Etappen enthüllt und zusätzliche Vorteile erst nach und nach hinzufügt.;Nicht gleich alles auf einmal bieten, sondern einen Bonus oder eine Zugabe zurückhalten, die man erst später im Gespräch oben drauf legt.;Unerwartete Extras steigern die Kauflaune. Der Verhandlungspartner fühlt sich durch nachträgliche Boni positiv überrascht und eher geneigt, zuzustimmen.;Wenn Sie heute bestellen, legen wir kostenlos ein Display-Paket obendrauf – und das ist noch nicht alles... | Sie bekommen 10% Rabatt und obendrein kostenlose Schulungen für Ihr Personal. | Zusätzlich übernehmen wir noch die Lieferkosten – das Angebot lohnt sich wirklich.
Fuß-in-der-Tür-Technik;Erst um eine kleine Gefälligkeit bitten, dann eine größere Forderung stellen – nach dem Prinzip, dass Zustimmung zu Kleinem die Bereitschaft zu Größerem erhöht.;Mit einer leichten, zumutbaren Bitte starten, der der andere wahrscheinlich zustimmt, und darauf aufbauend Schritt für Schritt die eigentliche, größere Forderung stellen.;Weil Menschen konsistent handeln möchten, sagen sie nach einer ersten Zusage eher auch zu einem größeren Anliegen Ja. important: Die erste Bitte muss wirklich klein sein.;Könnten Sie uns zunächst eine kleine Probebestellung von 50 Stück ermöglichen? | Wären Sie grundsätzlich bereit, über einen Mengenrabatt zu sprechen, falls wir unser Volumen erhöhen? | Stimmen Sie mir zu, dass wir gemeinsam erfolgreicher sein können, wenn wir enger kooperieren?
Tür-ins-Gesicht-Technik;Mit einer überzogenen Forderung beginnen, die wahrscheinlich abgelehnt wird, um danach mit einem deutlich moderateren Angebot zu kommen.;Zuerst ein unrealistisch hohes (oder niedriges) Angebot machen und nach der erwarteten Ablehnung ein viel vernünftigeres hinterherschieben.;Nach einer extremen Forderung wirkt ein gemäßigter Vorschlag vergleichsweise vernünftig, sodass die Wahrscheinlichkeit steigt, dass dieser angenommen wird.;Wir hätten gerne 20% Rabatt... *(nach Ablehnung)* Okay, dann lassen Sie es uns wenigstens bei 10% Rabatt versuchen. | Ursprünglich wollten wir, dass Sie alle Werbekosten übernehmen. Wenn das nicht geht, teilen wir sie uns hälftig – ist das fair? | Erst fordern wir Lieferung in 24 Stunden. Wenn das zu knapp ist, reichen uns auch 3 Tage.
Überzogene Positionierung;Die eigene Forderung viel höher ansetzen, als eigentlich nötig, um mehr Verhandlungsspielraum zu haben.;Eine Verhandlungsposition bewusst überhöht darstellen (viel höherer Preis, viel größeres Volumen etc.), um dem Gegenüber größere Zugeständnisse abzuringen.;Der Verhandlungspartner fühlt sich eher zu eigenen Zugeständnissen veranlasst, wenn er glaubt, man bewege sich von einer sehr strikten Position auf ihn zu. Die überzogene Forderung muss aber plausibel begründet sein.;Wir gehen davon aus, dass Sie mindestens 10 Paletten pro Markt abnehmen – darunter macht es für uns keinen Sinn. | Mein Budget lässt absolut nicht mehr als 5 € pro Stück zu. | Unser Ziel ist ein Jahresbonus von 15%.
Bluffen;Mit unwahren Behauptungen oder vorgetäuschten Konsequenzen Druck ausüben.;So tun, als hätte man alternative Optionen oder würde drastische Schritte ergreifen, obwohl das nicht der Fall ist, um den anderen zu Zugeständnissen zu bewegen.;Ein glaubhafter Bluff erhöht den Druck auf den anderen. Wird der Bluff jedoch enttarnt oder wirkt er unglaubwürdig, verliert man das Vertrauen des Gegenübers.;Wir haben auch ein viel günstigeres Angebot von Ihrem Wettbewerber vorliegen. | Wenn wir uns heute nicht einigen, nehmen wir diese Produktlinie komplett aus dem Sortiment. | Mein Chef ist bereit, das Projekt zu stoppen, falls wir keine Einigung erzielen.
Aggressives Auftreten;Durch forsche, initiative Eröffnung und Dominanz den Ton der Verhandlung an sich reißen.;Proaktiv agieren – z. B. als Erster da sein, sofort die Agenda vorgeben, den anderen auch außerhalb der Meetings kontaktieren – um die Kontrolle über Ablauf und Tempo zu gewinnen.;Wer die Initiative hat, bestimmt oft Zeit und Ort der Verhandlung und drängt dem anderen seinen Rhythmus auf. Allerdings kann zu viel Dominanz als unhöflich empfunden werden.;Ich war schon eine halbe Stunde vor dem Termin hier, damit wir pünktlich starten können. | Ich habe Sie gestern Abend noch angerufen, weil wir das umgehend klären müssen. | Lassen Sie uns direkt zur Sache kommen – warum haben Sie bisher nicht zugestimmt?
Einschüchterung;Druck durch Androhung ernsthafter Konsequenzen ausüben, um den anderen zu Zugeständnissen zu bewegen.;Glaubhafte Drohungen oder Ultimaten aussprechen (z. B. Abbruch der Geschäftsbeziehung, rechtliche Schritte), um dem Gegenüber vor Augen zu führen, was bei Nichteinigung passiert.;Ein verängstigter Verhandlungspartner gibt eher nach, um Schaden abzuwenden. Die Drohung muss realistisch sein, sonst verliert sie ihre Wirkung und schadet der Beziehung.;Sollten wir bis Monatsende keine Einigung haben, müssen wir die Zusammenarbeit leider beenden. | Wenn Sie auf diesem Preis bestehen, werden wir uns einen anderen Lieferanten suchen. | Falls Sie diese Bedingungen nicht akzeptieren, werden wir künftige Projekte ohne Sie planen.
Falsche Angaben;Bewusst falsche oder irreführende Informationen präsentieren, um einen Vorteil zu erzielen.;Unwahre Behauptungen über Fakten oder Daten aufstellen, in der Hoffnung, dass der andere sie nicht sofort überprüfen kann.;Unter Zeitdruck oder inmitten von Informationsflut lässt sich nicht alles verifizieren – das wird auszunutzen versucht. Aber wenn die Täuschung auffliegt, ist das Vertrauen zerstört.;Unsere Verkaufszahlen sind in den letzten Monaten um 20% zurückgegangen. | Die Produktion kostet uns 15 € pro Stück. | Wir haben kaum Lagerbestand, wir brauchen dringend Nachschub.
Täuschung;Wichtige Informationen weglassen oder Fakten verfälschen, um den Verhandlungspartner zu manipulieren.;Relevante Details bewusst verschweigen oder falsche Aussagen machen, damit der andere auf falscher Grundlage entscheidet.;Der andere zieht falsche Schlüsse, wenn er unvollständige Infos hat. Wird die Täuschung entdeckt, zerstört das schlagartig die Vertrauensbasis.;Einen anderen Anbieter gibt es für uns eigentlich nicht. | Unser Budget ist vollständig aufgebraucht. | Wir sind selbstverständlich an einer langfristigen Partnerschaft interessiert.
Ablenkungsmanöver;Unwichtige Punkte aufbauschen, um dann darauf verzichten zu können und dafür bei wichtigen Themen Zugeständnisse zu erhalten.;Nebensächliche Forderungen vehement vertreten und später scheinbar großzügig nachgeben, damit der andere im Gegenzug bei wirklich wichtigen Punkten entgegenkommt.;Es fällt dem Gegenüber schwer, echte Prioritäten zu erkennen, wenn man unwichtige Dinge als wichtig darstellt. Geschickt eingesetzt, fühlt er sich verpflichtet, für Ihr Entgegenkommen ebenfalls nachzugeben.;Wir können die Verpackung keinesfalls ändern, das ist ein absolutes Ausschlusskriterium. | Die 48-Stunden-Lieferzeit ist für uns unverzichtbar. | 60 Tage Zahlungsziel sind ein Muss, da rücken wir nicht von ab.
Ehrlichkeit betonen;Die eigene Aufrichtigkeit hervorheben, um das Vertrauen des Gegenübers zu gewinnen, bevor man eine schwierige Aussage macht.;Gespräch mit Formulierungen einleiten, die besondere Ehrlichkeit suggerieren (z. B. „Ehrlich gesagt...“), um die Glaubwürdigkeit der anschließenden Aussage zu erhöhen.;Wenn jemand seine Ehrlichkeit ausdrücklich betont, neigen Zuhörer dazu, das Folgende weniger zu hinterfragen. Allerdings nutzt sich diese Masche ab, wenn sie zu oft oder unglaubwürdig verwendet wird.;Um ganz ehrlich zu sein, Ihr Preisvorschlag ist für uns schwer tragbar. | Ehrlich gesagt, haben wir kaum Spielraum, aber ich mache Ihnen trotzdem ein Angebot. | Ganz offen gesprochen: Ich möchte fair bleiben und Ihnen nichts vormachen.
Verzögerung;Den Verhandlungsprozess absichtlich in die Länge ziehen, um Zeitdruck aufzubauen oder auf bessere Bedingungen zu warten.;Meetings vertagen, Entscheidungen herauszögern oder bürokratische Hürden einbauen, damit sich eine Einigung verzögert.;Je mehr die Zeit drängt, desto eher macht die andere Seite Zugeständnisse. Zudem kann man in der Zwischenzeit selbst an Verhandlungsstärke gewinnen (z. B. neue Alternativen). Aber Vorsicht: zu viel Verzögerung kann den Verhandlungspartner verärgern.;Lassen Sie uns das auf nächste Woche verschieben, einige Entscheider sind gerade im Urlaub. | Ich brauche noch die Freigabe der Zentrale, bevor wir hier weiterkommen. | Können wir das Thema vertagen? Intern sind noch ein paar Punkte offen.
Sprachbarriere ausnutzen;Sprachliche Missverständnisse vorschieben, um Unklarheiten oder Täuschungen zu kaschieren, besonders in internationalen Verhandlungen.;Bei Nachfragen oder Widerspruch behaupten, man habe etwas falsch verstanden oder ausgedrückt aufgrund der Sprachbarriere, um Zeit zu gewinnen oder sich aus einer ungünstigen Aussage zu winden.;In Verhandlungen mit unterschiedlicher Muttersprache kann man Übersetzungsprobleme als Ausrede nutzen. Das kann kurzfristig Spannungen entschärfen, wirkt aber schnell unglaubwürdig, wenn es zu oft bemüht wird.;Entschuldigen Sie, mein Deutsch/Englisch ist nicht perfekt – da gab es wohl ein Missverständnis. | Ich fürchte, ich habe Sie falsch verstanden, können wir das nochmal klären? | In unserer Sprache hat das eine etwas andere Bedeutung, entschuldigen Sie die Verwirrung.
Fachjargon verwenden;Mit vielen Fachbegriffen und Abkürzungen sprechen, um den Verhandlungspartner zu beeindrucken oder zu verunsichern.;Bewusst komplizierte Terminologie einsetzen, sodass ein weniger versierter Gegenüber Schwierigkeiten hat zu folgen und möglicherweise unsicher wird.;Übermäßiger Jargon kann den anderen einschüchtern und ihm das Gefühl geben, weniger kompetent zu sein. Das kann ihn zugänglicher machen, birgt aber die Gefahr, dass er nicht alles versteht oder sich ausgeschlossen fühlt.;Unsere ROI-Kennzahl und die OOS-Quote gemäß ABC-Analyse sind in Q3 signifikant gestiegen. | Wir haben die POS-Performance per SKU mittels einer Varianzanalyse evaluiert. | Die geplanten KPI-Ziele orientieren sich am FY-Budget und der EOM-Stockrotation.
Stur bleiben;Kompromisslos bei der eigenen Position bleiben, um den anderen zur Nachgiebigkeit zu drängen.;Sich weigern, auch nur in kleinen Punkten nachzugeben, und konsequent auf den eigenen Forderungen beharren.;Totale Unnachgiebigkeit kann den Verhandlungspartner frustrieren, aber er könnte auch denken, Sie seien einfach so und eher selbst einlenken. Man riskiert allerdings einen Abbruch, wenn der andere keinen Weg sieht.;Tut mir leid, aber wir rücken von unserer Forderung nicht ab. | Das ist unser letztes Wort, da gibt es keinen Verhandlungsspielraum. | Wie oft Sie auch fragen – unsere Position bleibt unverändert.
Pragmatismus betonen;Das eigene Angebot als den einzig vernünftigen, pragmatischen Weg darstellen, dem man kaum widersprechen kann.;Argumentieren, dass der Vorschlag schlicht der praxisbewährte oder branchenübliche Weg ist und daher die logischste Wahl ist.;Viele wollen als vernünftig gelten und folgen ‚Common Sense‘-Argumenten. Wichtig ist, dass der Vorschlag tatsächlich plausibel klingt – sonst erkennt der andere, dass es nur Rhetorik ist.;Praktisch gesehen gibt es keine sinnvollere Lösung als diese. | Das ist der branchenübliche Ansatz, alles andere wäre unrealistisch. | Seien wir doch pragmatisch: Dieser Weg hat sich bewährt und ist für beide Seiten das Beste.
Ortswechsel;Die Verhandlung an einen anderen Ort verlegen, um den Verhandlungspartner aus seiner Komfortzone zu holen.;Ein Treffen an einem ungewohnten oder neutralen Ort vorschlagen oder während der Verhandlung den Raum wechseln.;Ein ungewohntes Umfeld kann den anderen verunsichern, weil ihm der 'Heimvorteil' fehlt. Dadurch ist er evtl. eher geneigt nachzugeben. Doch der Ortswechsel darf nicht als Schikane empfunden werden.;Kommen Sie doch für das nächste Gespräch in unsere Zentrale, dann sehen Sie gleich unsere Abläufe. | Lassen Sie uns den Besprechungsraum wechseln – hier ist es etwas unruhig. | Vielleicht setzen wir das Gespräch in unserem Showroom fort, dort können wir direkt auf die Produkte schauen.
Schuldengefühl erzeugen;Dem Verhandlungspartner das Gefühl geben, etwas zurückgeben zu müssen, weil man ihm bereits entgegengekommen ist.;Im Verlauf oder vor der Verhandlung Gefälligkeiten erweisen (z. B. besondere Dienste, finanzielle Vorteile) und dann subtil darauf hinweisen, um eine Gegenleistung zu motivieren.;Wenn der andere glaubt, Ihnen etwas schuldig zu sein, steigt seine Zugeständnisbereitschaft. Die Erwähnung vergangener Gefallen muss jedoch geschickt erfolgen, sonst wirkt es wie Vorwurf oder Erpressung.;Denken Sie daran, wir haben letztes Jahr extra eine Sonderlieferung für Sie eingeschoben. | Wir haben im Frühjahr Ihre Lieferengpässe intern aufgefangen – das sollten Sie nicht vergessen. | Ich habe mich damals für Ihr Produkt starkgemacht. Jetzt hoffe ich, dass Sie uns entgegenkommen.
Stress erzeugen;Eine unkomfortable, stressige Verhandlungssituation schaffen, damit der andere schnell abschließen will.;Äußere Umstände unangenehm gestalten (z. B. Hitze, Enge, Lärm) oder Zeitdruck im Gespräch erzeugen, sodass das Gegenüber die Verhandlung als belastend empfindet.;Unter Stress steigt der Wunsch, die Situation zu beenden – oft durch Nachgeben. Aber Vorsicht: Wenn der Druck zu groß wird, fühlt sich der andere unfair behandelt und könnte abbrechen.;Entschuldigen Sie die Hitze hier drin, unsere Klimaanlage ist leider ausgefallen. | Wir müssen das im Stehen besprechen, alle Konferenzräume sind belegt. | Es tut mir leid wegen des Lärms im Hintergrund, aber wir haben heute viel Betrieb.
Informationsflut;Den Verhandlungspartner mit einer Menge an Informationen überschütten, damit er den Überblick verliert.;Unzählige Daten, Berichte und Details präsentieren, sodass der andere Mühe hat, Wichtiges von Unwichtigem zu unterscheiden.;Überforderung kann dazu führen, dass der andere resigniert zustimmt, weil er nicht alles durchdringen kann. Allerdings sollte die Infoflut nicht zu offensichtlich manipulativ wirken, sonst schaltet der andere auf stur.;Hier sind die 50-seitige Marktanalyse, unsere Verkaufszahlen der letzten 5 Jahre und eine Liste aller Marketingaktionen – gehen wir das alles durch. | Ich habe sämtliche Lagerbestände, Umsatzzahlen und Prognosen für jede Filiale dabei, die schauen wir uns an. | Lassen Sie mich Ihnen noch die Kundenumfragen, den Forschungsbericht und die ROI-Berechnung zeigen – all das ist relevant für unsere Entscheidung.
Unklare Vollmacht;Vortäuschen, man habe volle Entscheidungsbefugnis, obwohl man in Wirklichkeit noch einen Vorgesetzten im Rücken hat.;So tun, als könne man einen Deal abschließen, um den anderen in Sicherheit zu wiegen – und nach Einigung anführen, die Chefetage müsse noch zustimmen, wodurch neue Bedingungen verhandelt werden können.;Verschafft einem Verhandlungsspielraum nach hinten heraus (zweite Verhandlungsrunde), untergräbt aber Vertrauen, wenn der andere merkt, dass man erst Entscheidungsfreiheit vorgespielt hat.;Ich kann das für uns beide hier und jetzt entscheiden. | Sie haben mein Wort, dass dieser Deal so steht. | *(später)* Leider muss mein Chef das final noch absegnen – ich hoffe, da ändert sich nichts Wesentliches.
Persönliche Angriffe;Den Verhandlungspartner persönlich attackieren oder herabsetzen, um ihn zu verunsichern oder abzulenken.;Abfällige Bemerkungen, Provokationen oder aggressives Verhalten einsetzen, die den anderen verletzen oder aus der Fassung bringen sollen.;Ein verunsicherter oder verärgerter Gegenüber will die Situation eher beenden – vielleicht durch Nachgeben. Allerdings riskiert man, dass er dichtmacht oder ebenfalls aggressiv reagiert. Die Beziehung kann nachhaltig Schaden nehmen.;Ihr Vorschlag ist völlig unrealistisch – kennen Sie den Markt überhaupt? | Bei allem Respekt, das ist ja eine lächerliche Kalkulation. | Sie verschwenden gerade meine Zeit mit solchen Forderungen.
Guter-Kerl/Böser-Kerl;Im Team eine Doppelrolle spielen: Einer verhält sich hart und unnachgiebig, der andere gibt sich verständnisvoll, um den Gegenüber zu beeinflussen.;Abgesprochenes Vorgehen, bei dem ein Verhandler sehr konfrontativ auftritt und hohe Forderungen stellt, während der andere auf den Verhandlungspartner eingeht, Kompromisse anbietet und vermittelt.;Durch den Kontrast zieht es den Verhandlungspartner zum 'guten Kerl', dessen Vorschläge im Vergleich moderat erscheinen. Wichtig: Das Theater muss überzeugend sein, sonst verliert es Wirkung.;Das Angebot ist vollkommen inakzeptabel, darüber verhandle ich nicht weiter! | Wir finden bestimmt einen Kompromiss, der für beide Seiten passt. Lassen Sie uns gemeinsam eine Lösung suchen.
Forderungsschraube;Für jedes eigene Zugeständnis gleichzeitig eine neue oder höhere Forderung stellen.;Immer wenn man dem anderen entgegenkommt, umgehend an anderer Stelle die Ansprüche erhöhen, sodass die Gesamtbelastung für den anderen gleich bleibt oder steigt.;Der andere wird mürbe, weil jede Einigung neue Forderungen nach sich zieht. Aus Angst vor weiteren Forderungen neigt er dazu, schnell abzuschließen – oder er bricht genervt ab, wenn es zu viel wird.;Wir haben Ihnen beim Liefertermin entgegengekommen, dafür müsste der Preis aber noch weiter runter. | Wenn wir die Werbekosten übernehmen sollen, erhöhen wir im Gegenzug unsere Mengenforderung. | Weil wir Ihnen hier nachgeben, erwarten wir an anderer Stelle ein Entgegenkommen.
Selbstbindung;Sich selbst so festlegen oder einschränken, dass man angeblich keinen Verhandlungsspielraum mehr hat, wodurch der andere nachgeben muss, um Schlimmeres zu verhindern.;Unumkehrbare Schritte gehen oder öffentlich Versprechen abgeben, sodass man glaubhaft nicht mehr zurückkann. Der Verhandlungspartner steht dann vor der Wahl, das kleine Übel (Zugeständnis) hinzunehmen oder ein größeres Problem zu riskieren.;Die Taktik muss glaubwürdig sein: Der andere muss glauben, dass man wirklich keinen Spielraum mehr hat. Dann wird er rational lieber das kleinere Opfer bringen, als den großen Schaden zu riskieren.;Ich habe dem Vorstand bereits fest zugesagt, mindestens 1000 Stück abzunehmen – ich kann das jetzt nicht mehr ändern. | Unsere Werbung mit diesem Angebot ist schon draußen, wir können den Preis nicht mehr korrigieren. | Ich habe intern mein Wort gegeben, diesen Deal so abzuschließen – wenn das platzt, stehe ich im eigenen Haus schlecht da.
Drohungen;Klare Androhung negativer Konsequenzen für den Fall, dass der eigene Vorschlag abgelehnt wird.;Dem Gegenüber unmissverständlich aufzeigen, welche ernsten Folgen eine Nichteinigung hätte (z. B. Vertragskündigung, Konkurrenz zuwenden).;Nur wirksam, wenn die Drohung als realistisch eingeschätzt wird. Sie erzeugt beim anderen den Wunsch, den Konflikt zu vermeiden, kann aber auch Trotz oder Eskalation hervorrufen. Sie sollte daher mit Bedacht eingesetzt werden.;Wenn wir uns nicht einigen, werden wir die Zusammenarbeit beenden müssen. | Sollten Sie auf diesem Standpunkt beharren, sehen wir uns gezwungen, einen anderen Partner zu suchen. | Falls Sie das Angebot ablehnen, müssen wir rechtliche Schritte prüfen.
Verhandlungsverweigerung;Sich weigern, überhaupt weiterzuverhandeln, um den andere unter Druck zu setzen, Zugeständnisse zu machen.;Kommunizieren, dass unter den aktuellen Bedingungen keine Verhandlung stattfinden wird bzw. abbrechen, bis der andere entgegenkommt.;Ein starkes Druckmittel, da die Aussicht auf Scheitern den anderen oft zum Einlenken bewegt, um die Verhandlung zu retten. Es birgt aber das Risiko, dass tatsächlich keine Einigung mehr erfolgt, wenn die Fronten zu verhärtet sind.;Unter diesen Umständen gibt es für uns nichts mehr zu besprechen. | Dann müssen wir die Gespräche hier beenden. | Wenn das Ihr finales Angebot ist, brauchen wir nicht weiter zu verhandeln.
